event_id,date,hour,lat,lon,area_ha,y_gt10ha,y_gt100ha,comuna,region,temporada,split
1403,2014-12-23,16,-35.11,-71.97306,10.0,0,0,Curepto,Maule,2014 al 2015,train
1404,2014-12-24,17,-35.37556,-71.43222,12.0,1,0,Pelarco,Maule,2014 al 2015,train
1405,2014-12-24,18,-35.64694,-71.74528,0.3,0,0,Villa Alegre,Maule,2014 al 2015,train
1406,2014-12-25,17,-35.80889,-71.61944,1.5,0,0,Linares,Maule,2014 al 2015,train
1407,2014-12-26,10,-35.70583,-71.65417,0.4,0,0,Villa Alegre,Maule,2014 al 2015,train
1408,2014-12-26,14,-35.45861,-71.65306,3.0,0,0,Maule,Maule,2014 al 2015,train
1409,2014-12-26,15,-35.15028,-71.37722,0.3,0,0,Molina,Maule,2014 al 2015,train
1410,2014-12-26,15,-35.11889,-71.69083,1.0,0,0,Curepto,Maule,2014 al 2015,train
1411,2014-12-26,17,-35.17694,-71.38611,0.8,0,0,Molina,Maule,2014 al 2015,train
1412,2014-12-26,16,-36.00583,-71.66194,1.0,0,0,Longaví,Maule,2014 al 2015,train
1413,2014-12-26,17,-35.59167,-71.705,0.1,0,0,San Javier,Maule,2014 al 2015,train
1414,2014-12-26,16,-35.37028,-71.43278,0.2,0,0,Pelarco,Maule,2014 al 2015,train
1415,2014-12-26,17,-36.00556,-72.32444,0.1,0,0,Cauquenes,Maule,2014 al 2015,train
1416,2014-12-27,11,-35.605,-71.69111,0.1,0,0,San Javier,Maule,2014 al 2015,train
1417,2014-12-27,16,-35.64722,-71.745,2.0,0,0,Villa Alegre,Maule,2014 al 2015,train
1418,2014-12-28,15,-36.18833,-71.77889,0.2,0,0,Parral,Maule,2014 al 2015,train
1419,2014-12-28,18,-35.59889,-71.745,0.08,0,0,San Javier,Maule,2014 al 2015,train
1420,2014-12-28,18,-35.48083,-71.68167,2.0,0,0,Maule,Maule,2014 al 2015,train
1421,2014-12-28,18,-35.14528,-71.29806,1.5,0,0,Molina,Maule,2014 al 2015,train
1422,2014-12-29,14,-35.76333,-71.66278,0.4,0,0,Villa Alegre,Maule,2014 al 2015,train
1423,2014-12-29,15,-35.92611,-72.67417,5.0,0,0,Pelluhue,Maule,2014 al 2015,train
1424,2014-12-29,18,-35.44028,-71.7025,0.5,0,0,Talca,Maule,2014 al 2015,train
1425,2014-12-30,15,-35.47056,-71.56361,4.0,0,0,Talca,Maule,2014 al 2015,train
1426,2015-01-01,0,-35.45694,-71.7075,1.0,0,0,Maule,Maule,2014 al 2015,train
1427,2015-01-01,9,-35.43444,-71.69139,1.0,0,0,Talca,Maule,2014 al 2015,train
1428,2015-01-01,17,-35.48722,-71.7475,0.3,0,0,Maule,Maule,2014 al 2015,train
1429,2015-01-01,18,-35.38778,-71.66,0.5,0,0,Pencahue,Maule,2014 al 2015,train
